Region,StationCode,SpeciesID,Density,Month,Year,Season,Survey,Biomass,Grazing
Confluence,D24L,Potamocorbula amurensis,0,5,2007,Spring,EMP,0,0
Confluence,D24L,Potamocorbula amurensis,0,10,2007,Fall,EMP,0,0
Confluence,D24L,Corbicula fluminea,774.038461538462,5,2007,Spring,EMP,21.68,1.38
Confluence,D24L,Corbicula fluminea,961.538461538462,10,2007,Fall,EMP,42.87,1.99
Confluence,D4L,Potamocorbula amurensis,48.0769230769231,5,2007,Spring,EMP,0.97,0
Confluence,D4L,Potamocorbula amurensis,192.307692307692,10,2007,Fall,EMP,0.01,0.27
Confluence,D4L,Corbicula fluminea,1581.73076923077,5,2007,Spring,EMP,37.69,2.32
Confluence,D4L,Corbicula fluminea,466.346153846154,10,2007,Fall,EMP,10.48,0.6
Suisun Bay,D6R,Potamocorbula amurensis,11110.5769230769,5,2007,Spring,EMP,20.47,6.58
Suisun Bay,D6R,Potamocorbula amurensis,2206.73076923077,10,2007,Fall,EMP,2.24,0.81
Suisun Bay,D6R,Corbicula fluminea,0,5,2007,Spring,EMP,0,0
Suisun Bay,D6R,Corbicula fluminea,0,10,2007,Fall,EMP,0,0
Suisun Bay,D7C,Potamocorbula amurensis,1701.92307692308,5,2007,Spring,EMP,0.65,0.24
Suisun Bay,D7C,Potamocorbula amurensis,7201.92307692308,10,2007,Fall,EMP,8.1,2.63
Suisun Bay,D7C,Corbicula fluminea,0,5,2007,Spring,EMP,0,0
Suisun Bay,D7C,Corbicula fluminea,0,10,2007,Fall,EMP,0,0
SouthCentral,C9L,Potamocorbula amurensis,0,5,2007,Spring,EMP,0,0
SouthCentral,C9L,Potamocorbula amurensis,0,10,2007,Fall,EMP,0,0
SouthCentral,C9L,Corbicula fluminea,182.692307692308,5,2007,Spring,EMP,1.11,0.09
SouthCentral,C9L,Corbicula fluminea,139.423076923077,10,2007,Fall,EMP,2.94,0.22
SouthCentral,D16L,Potamocorbula amurensis,0,5,2007,Spring,EMP,0,0
SouthCentral,D16L,Potamocorbula amurensis,0,10,2007,Fall,EMP,0,0
SouthCentral,D16L,Corbicula fluminea,9.61538461538461,5,2007,Spring,EMP,0.21,0.02
SouthCentral,D16L,Corbicula fluminea,24.0384615384615,10,2007,Fall,EMP,0.04,0
SouthCentral,D28AL,Potamocorbula amurensis,0,5,2007,Spring,EMP,0,0
SouthCentral,D28AL,Potamocorbula amurensis,0,10,2007,Fall,EMP,0,0
SouthCentral,D28AL,Corbicula fluminea,701.923076923077,5,2007,Spring,EMP,13.91,1.03
SouthCentral,D28AL,Corbicula fluminea,389.423076923077,10,2007,Fall,EMP,14.73,0.99
SouthCentral,P8R,Potamocorbula amurensis,0,5,2007,Spring,EMP,0,0
SouthCentral,P8R,Potamocorbula amurensis,0,10,2007,Fall,EMP,0,0
SouthCentral,P8R,Corbicula fluminea,120.192307692308,5,2007,Spring,EMP,1.89,0.13
SouthCentral,P8R,Corbicula fluminea,67.3076923076923,10,2007,Fall,EMP,1.99,0.15
Confluence,D24L,Potamocorbula amurensis,0,5,2008,Spring,EMP,0,0
Confluence,D24L,Potamocorbula amurensis,0,10,2008,Fall,EMP,0,0
Confluence,D24L,Corbicula fluminea,673.076923076923,5,2008,Spring,EMP,38.48,2.55
Confluence,D24L,Corbicula fluminea,961.538461538462,10,2008,Fall,EMP,21.76,1.09
Confluence,D4L,Potamocorbula amurensis,211.538461538462,5,2008,Spring,EMP,1.65,0.05
Confluence,D4L,Potamocorbula amurensis,1052.88461538462,10,2008,Fall,EMP,1.41,0.17
Confluence,D4L,Corbicula fluminea,903.846153846154,5,2008,Spring,EMP,23.3,1.41
