Taxa,Region,Yr_type,MeanClearence,MaxClearence
Maeotias,Confluence,Below Normal,4.52E-05,0.00400393
Maeotias,North,Below Normal,0,0
Maeotias,SouthCentral,Below Normal,0,0
Maeotias,Suisun Bay,Below Normal,0.000100843,0.006173254
Maeotias,Suisun Marsh,Below Normal,0.00047324,0.034824983
Maeotias,Confluence,Critical,0.000506915,0.021486705
Maeotias,North,Critical,0,0
Maeotias,SouthCentral,Critical,4.14E-06,0.001273755
Maeotias,Suisun Bay,Critical,0.000102013,0.010158941
Maeotias,Suisun Marsh,Critical,0.000417877,0.025606605
Maeotias,Confluence,Dry,6.36E-05,0.006201214
Maeotias,North,Dry,0,0
Maeotias,SouthCentral,Dry,3.85E-08,4.21E-05
Maeotias,Suisun Bay,Dry,7.33E-05,0.011920144
Maeotias,Suisun Marsh,Dry,0.000481488,0.020938843
Maeotias,Confluence,Wet,7.13E-05,0.004084796
Maeotias,North,Wet,0,0
Maeotias,SouthCentral,Wet,0,0
Maeotias,Suisun Bay,Wet,0.001180109,0.074065626
Maeotias,Suisun Marsh,Wet,0.001069676,0.095199668
clams,Confluence,Dry,0.169915764,0.213539712
clams,North,Dry,0.260561756,0.680416667
clams,SouthCentral,Dry,0.21339839,0.247137681
clams,Suisun Bay,Dry,0.199789127,0.339
clams,Suisun Marsh,Dry,0.349935897,0.580075758
clams,Confluence,Critical,0.218533863,0.37053125
clams,North,Critical,0.171575893,0.446964286
clams,SouthCentral,Critical,0.193460016,0.313930921
clams,Suisun Bay,Critical,0.260494219,0.536851852
clams,Suisun Marsh,Critical,0.444630682,0.687159091
clams,Confluence,Below Normal,0.148980223,0.261705474
clams,North,Below Normal,0.1298125,0.15125
clams,SouthCentral,Below Normal,0.201870478,0.267034884
clams,Suisun Bay,Below Normal,0.262094543,0.386499669
clams,Suisun Marsh,Below Normal,0.632007326,0.928184524
clams,Confluence,Wet,0.104040349,0.168262904
clams,North,Wet,0.109131944,0.235625
clams,SouthCentral,Wet,0.169647201,0.245849359
clams,Suisun Bay,Wet,0.174395454,0.318611111
clams,Suisun Marsh,Wet,0.288324519,0.399875
