parameter,year,value_mean,value_se
DissolvedOxygen,2015,10.346127334465196,0.014691727898115781
DissolvedOxygen,2016,9.714384085692425,0.012180454401822617
DissolvedOxygen,2017,9.887098362047016,0.010190806126545854
DissolvedOxygen,2018,10.809945799457994,0.01256879997338423
DissolvedOxygen,2019,10.719536715507749,0.015352407982730356
DissolvedOxygen,2020,10.373708502710027,0.01548065600500876
DissolvedOxygen,2021,11.231348808030113,0.020412941465526458
Fluorescence,2015,2.021090596822671,0.00768425198677635
Fluorescence,2016,2.5128214253937182,0.006080743910711888
Fluorescence,2017,2.988962472406181,0.018301708864754667
Fluorescence,2018,1.9208123719023664,0.008315729209840647
Fluorescence,2019,1.5056806352007057,0.007347460257497914
Fluorescence,2020,1.3353838262950932,0.006258701658385297
Fluorescence,2021,1.448488817076282,0.008518734190635226
pH,2015,8.819550076258261,0.004493667411107797
pH,2016,8.468894797482939,0.004543102747017183
pH,2017,8.491754418093581,0.004971123400795168
pH,2018,8.853028711781146,0.003175384857924134
pH,2019,8.867552299483357,0.004480543075183339
pH,2020,8.706406673441734,0.003817192205500892
pH,2021,9.449924744669413,0.0060693938551997575
SpC,2015,874.2159986441827,1.0874463418885068
SpC,2016,696.3531762905009,2.418941769126968
SpC,2017,168.64679949130988,0.29408168775415083
SpC,2018,674.7176251376302,2.5841832042038804
SpC,2019,175.8692190411655,0.4103883039107719
SpC,2020,676.3772561647318,2.509628956285496
SpC,2021,750.4789344417155,0.9436019637356692
Turbidity,2015,1.0731387400702015,0.01407360654337514
Turbidity,2016,2.9813072586328397,0.018523999924323978
Turbidity,2017,2.752080491132333,0.02378363256094942
Turbidity,2018,3.7253581661891118,0.06704476404032068
Turbidity,2019,0.6616367350412801,0.013084955695230186
Turbidity,2020,0.5494514584240313,0.008293480965390298
Turbidity,2021,1.7291923404255318,0.021840246731957228
WaterTemperature,2015,22.286270123707848,0.015239482078941081
WaterTemperature,2016,21.216808094549783,0.019561106750001802
WaterTemperature,2017,21.855559511698882,0.025786524405690136
WaterTemperature,2018,21.268298467011096,0.0190023110295325
WaterTemperature,2019,22.01419666299653,0.027807792184591423
WaterTemperature,2020,22.371339769647697,0.02005316314519464
WaterTemperature,2021,20.901835469904068,0.02502213502554697
