Date,Region,AvgCI
5/1/2020,Franks Tract,0
5/1/2020,Clifton Court Forebay,1.95E-05
5/1/2020,Liberty Island,0
5/3/2020,Liberty Island,0
5/4/2020,Franks Tract,0
5/4/2020,Mildred Island,0
5/4/2020,Clifton Court Forebay,0
5/4/2020,Liberty Island,0
5/5/2020,Franks Tract,0
5/5/2020,Clifton Court Forebay,0
5/5/2020,Liberty Island,0
5/7/2020,Clifton Court Forebay,0
5/7/2020,Liberty Island,2.87E-05
5/8/2020,Liberty Island,0
5/9/2020,Franks Tract,0
5/9/2020,Mildred Island,0
5/9/2020,Clifton Court Forebay,0
5/9/2020,Liberty Island,0
5/11/2020,Franks Tract,0
5/11/2020,Mildred Island,0
5/11/2020,Clifton Court Forebay,0
5/12/2020,Liberty Island,0
5/15/2020,Franks Tract,0
5/15/2020,Mildred Island,0
5/15/2020,Clifton Court Forebay,4.29E-06
5/15/2020,Liberty Island,0
5/19/2020,Franks Tract,0
5/19/2020,Mildred Island,0
5/19/2020,Liberty Island,0
5/20/2020,Franks Tract,0
5/20/2020,Mildred Island,0
5/20/2020,Clifton Court Forebay,1.35E-04
5/20/2020,Liberty Island,0
5/23/2020,Franks Tract,0
5/23/2020,Mildred Island,0
5/23/2020,Clifton Court Forebay,0
5/23/2020,Liberty Island,0
5/24/2020,Franks Tract,0
5/24/2020,Mildred Island,0
5/24/2020,Clifton Court Forebay,0
5/24/2020,Liberty Island,0
5/27/2020,Franks Tract,0
5/27/2020,Mildred Island,0
5/27/2020,Clifton Court Forebay,0
5/27/2020,Liberty Island,0
5/28/2020,Franks Tract,0
5/28/2020,Clifton Court Forebay,0
5/28/2020,Liberty Island,0
5/31/2020,Liberty Island,0
6/1/2020,Mildred Island,0
6/1/2020,Clifton Court Forebay,0
6/1/2020,Liberty Island,0
6/3/2020,Franks Tract,0
6/3/2020,Clifton Court Forebay,0
6/3/2020,Liberty Island,0
6/4/2020,Franks Tract,0
6/4/2020,Mildred Island,0
6/4/2020,Clifton Court Forebay,0
6/4/2020,Liberty Island,0
6/5/2020,Franks Tract,0
6/5/2020,Mildred Island,0
6/5/2020,Clifton Court Forebay,0
6/5/2020,Liberty Island,0
6/7/2020,Franks Tract,1.99E-05
6/7/2020,Liberty Island,2.78E-05
6/8/2020,Franks Tract,0
6/8/2020,Mildred Island,0
6/8/2020,Clifton Court Forebay,9.98E-06
6/8/2020,Liberty Island,0
6/11/2020,Franks Tract,0
6/11/2020,Clifton Court Forebay,4.30E-05
6/11/2020,Liberty Island,0
6/15/2020,Liberty Island,0
6/16/2020,Franks Tract,0
