"term","estimate","std.error","statistic","p.value","Species"
"(Intercept)",187.693028985186,14.387779414276,13.0453090487995,4.57520027191843e-17,"Striped Bass"
"DroughtYear1",-0.554859841488953,0.263277041934223,-2.10751320135076,0.0405535709383038,"Striped Bass"
"DroughtYear2",-1.12608986545939,0.343269976028185,-3.28047876044634,0.00198071935084493,"Striped Bass"
"DroughtYear3+",-0.655741399225852,0.292644741641214,-2.24074212148257,0.0299131068292743,"Striped Bass"
"Year",-0.0906561896408267,0.00722158361542137,-12.5535055008204,1.83323599462966e-16,"Striped Bass"
"(Intercept)",163.274135909506,23.3633823614005,6.98846311650735,9.48258713592795e-09,"Longfin Smelt"
"DroughtYear1",-2.0129592584259,0.427518522530619,-4.70847262128096,2.32167653120044e-05,"Longfin Smelt"
"DroughtYear2",-1.43021933424168,0.55741386298831,-2.565812279182,0.0136168989310838,"Longfin Smelt"
"DroughtYear3+",-2.59381837373323,0.475206826442785,-5.45829358797211,1.86163009649617e-06,"Longfin Smelt"
"Year",-0.0780108532397776,0.0117266615232163,-6.6524349735287,3.03107731363213e-08,"Longfin Smelt"
"(Intercept)",29.2823824285939,16.2818358813662,1.79846932753488,0.078666343953461,"American Shad"
"DroughtYear1",-0.999478913127651,0.2979357317538,-3.35467957214871,0.00159939058718044,"American Shad"
"DroughtYear2",-1.24013702951226,0.388459209149798,-3.19245109988895,0.00254485432624677,"American Shad"
"DroughtYear3+",-0.906319600668295,0.331169495844457,-2.7367242817979,0.00879052305316317,"American Shad"
"Year",-0.0108221813423612,0.00817225756972521,-1.32425847448236,0.191959664005943,"American Shad"
"(Intercept)",234.024689002247,23.6665120085213,9.88843176037029,5.80835413457245e-13,"Delta Smelt"
"DroughtYear1",-0.695500694378879,0.433065388000167,-1.60599464572913,0.115119058887369,"Delta Smelt"
"DroughtYear2",-0.69398364471996,0.564646063573575,-1.22905956401754,0.225299779731349,"Delta Smelt"
"DroughtYear3+",-0.422662927614271,0.481372426756162,-0.878037262047769,0.384486722369589,"Delta Smelt"
"Year",-0.11471225278283,0.0118788098172626,-9.65688099628699,1.22086637009955e-12,"Delta Smelt"
"(Intercept)",114.010262982749,23.5809034393592,4.83485559728185,1.52664522901439e-05,"Threadfin Shad"
"DroughtYear1",-0.230627606418652,0.431498866148237,-0.534480214229397,0.59558337207335,"Threadfin Shad"
"DroughtYear2",-0.396805625913834,0.562603576638105,-0.705302352119741,0.484178467673606,"Threadfin Shad"
"DroughtYear3+",-0.480747927106482,0.479631164474934,-1.00232837795845,0.321428686492032,"Threadfin Shad"
"Year",-0.0533099457687592,0.0118358407514603,-4.50411144321808,4.54243048958666e-05,"Threadfin Shad"
"(Intercept)",1.45259400067106,0.178980168779292,8.1159494405345,2.75092340036176e-10,"Salmon CRR"
"DroughtYear1",-0.0216886362716499,0.296805032377696,-0.0730736810555499,0.942078667295013,"Salmon CRR"
"DroughtYear2",0.428734710166099,0.37967427312525,1.12921717512491,0.264925200268121,"Salmon CRR"
"DroughtYear3+",-0.86768519568033,0.326771585954999,-2.65532632877028,0.0109909199480956,"Salmon CRR"
