program,latitude_wgs84,longitude_wgs84,date,time,depth_to_sav_m,survey_method,rake_teeth_corr,species,rake_prop,secchi_depth_m,secchi_bottom,geometry,site
CSTARS,38.03108498235983,-121.61615545770636,2021-08-17,09:16:59,0,rake_thatch,0,NA,0,1.9812,No,"c(-121.616155457706, 38.0310849823598)",Franks Tract
CSTARS,38.0313065215088,-121.616216017924,2021-08-17,09:23:32,0,rake_thatch,100,Najas_guadalupensis,30,1.9812,No,"c(-121.616216017924, 38.0313065215088)",Franks Tract
CSTARS,38.0313065215088,-121.616216017924,2021-08-17,09:23:32,0,rake_thatch,100,Egeria_densa,30,1.9812,No,"c(-121.616216017924, 38.0313065215088)",Franks Tract
CSTARS,38.0313065215088,-121.616216017924,2021-08-17,09:23:32,0,rake_thatch,100,Unidentified,30,1.9812,No,"c(-121.616216017924, 38.0313065215088)",Franks Tract
CSTARS,38.0313065215088,-121.616216017924,2021-08-17,09:23:32,0,rake_thatch,100,Unidentified,10,1.9812,No,"c(-121.616216017924, 38.0313065215088)",Franks Tract
CSTARS,38.039480173823215,-121.62470160806475,2021-08-17,09:36:12,0,rake_thatch,100,Elodea_canadensis,30,1.6764,No,"c(-121.624701608065, 38.0394801738232)",Franks Tract
CSTARS,38.039480173823215,-121.62470160806475,2021-08-17,09:36:12,0,rake_thatch,100,Ceratophyllum_demersum,30,1.6764,No,"c(-121.624701608065, 38.0394801738232)",Franks Tract
CSTARS,38.039480173823215,-121.62470160806475,2021-08-17,09:36:12,0,rake_thatch,100,Najas_guadalupensis,30,1.6764,No,"c(-121.624701608065, 38.0394801738232)",Franks Tract
CSTARS,38.039480173823215,-121.62470160806475,2021-08-17,09:36:12,0,rake_thatch,100,Myriophyllum_spicatum,20,1.6764,No,"c(-121.624701608065, 38.0394801738232)",Franks Tract
CSTARS,38.039480173823215,-121.62470160806475,2021-08-17,09:36:12,0,rake_thatch,100,Egeria_densa,20,1.6764,No,"c(-121.624701608065, 38.0394801738232)",Franks Tract
CSTARS,38.04891936275633,-121.65471723565932,2021-08-17,10:41:12,0,rake_thatch,0,Egeria_densa,0,1.6764,No,"c(-121.654717235659, 38.0489193627563)",Franks Tract
CSTARS,38.04891936275633,-121.65471723565932,2021-08-17,10:41:12,0,rake_thatch,0,NA,0,1.6764,No,"c(-121.654717235659, 38.0489193627563)",Franks Tract
CSTARS,38.048694231520976,-121.65296512192552,2021-08-17,10:48:05,0,rake_thatch,100,Egeria_densa,90,1.3716000000000002,No,"c(-121.652965121926, 38.048694231521)",Franks Tract
CSTARS,38.048694231520976,-121.65296512192552,2021-08-17,10:48:05,0,rake_thatch,100,Myriophyllum_spicatum,10,1.3716000000000002,No,"c(-121.652965121926, 38.048694231521)",Franks Tract
CSTARS,38.04807518648855,-121.64904250486136,2021-08-17,10:57:42,0,rake_thatch,100,Ceratophyllum_demersum,100,1.6764,No,"c(-121.649042504861, 38.0480751864886)",Franks Tract
CSTARS,38.04807518648855,-121.64904250486136,2021-08-17,10:57:42,0,rake_thatch,100,Egeria_densa,0,1.6764,No,"c(-121.649042504861, 38.0480751864886)",Franks Tract
CSTARS,38.04807518648855,-121.64904250486136,2021-08-17,10:57:42,0,rake_thatch,100,Potamogeton_richardsonii,0,1.6764,No,"c(-121.649042504861, 38.0480751864886)",Franks Tract
CSTARS,38.04807518648855,-121.64904250486136,2021-08-17,10:57:42,0,rake_thatch,100,Algae,0,1.6764,No,"c(-121.649042504861, 38.0480751864886)",Franks Tract
CSTARS,38.04940996766099,-121.64830799858608,2021-08-17,11:04:17,0,rake_thatch,100,Ceratophyllum_demersum,100,-30.1752,No,"c(-121.648307998586, 38.049409967661)",Franks Tract
CSTARS,38.04940996766099,-121.64830799858608,2021-08-17,11:04:17,0,rake_thatch,100,Egeria_densa,0,-30.1752,No,"c(-121.648307998586, 38.049409967661)",Franks Tract
CSTARS,38.04940996766099,-121.64830799858608,2021-08-17,11:04:17,0,rake_thatch,100,Elodea_canadensis,0,-30.1752,No,"c(-121.648307998586, 38.049409967661)",Franks Tract
CSTARS,38.04940996766099,-121.64830799858608,2021-08-17,11:04:17,0,rake_thatch,100,Potamogeton_richardsonii,0,-30.1752,No,"c(-121.648307998586, 38.049409967661)",Franks Tract
CSTARS,38.05101320827061,-121.64847603350562,2021-08-17,11:13:56,0.3048,rake_thatch,100,Elodea_canadensis,100,-30.1752,No,"c(-121.648476033506, 38.0510132082706)",Franks Tract
CSTARS,38.05101320827061,-121.64847603350562,2021-08-17,11:13:56,0.3048,rake_thatch,100,Ceratophyllum_demersum,0,-30.1752,No,"c(-121.648476033506, 38.0510132082706)",Franks Tract
CSTARS,38.05101320827061,-121.64847603350562,2021-08-17,11:13:56,0.3048,rake_thatch,100,Potamogeton_richardsonii,0,-30.1752,No,"c(-121.648476033506, 38.0510132082706)",Franks Tract
CSTARS,38.05271805907965,-121.64246581452052,2021-08-17,11:31:30,0,rake_thatch,100,Elodea_canadensis,60,-30.1752,No,"c(-121.642465814521, 38.0527180590797)",Franks Tract
CSTARS,38.05271805907965,-121.64246581452052,2021-08-17,11:31:30,0,rake_thatch,100,Ceratophyllum_demersum,40,-30.1752,No,"c(-121.642465814521, 38.0527180590797)",Franks Tract
CSTARS,38.05271805907965,-121.64246581452052,2021-08-17,11:31:30,0,rake_thatch,100,Algae,0,-30.1752,No,"c(-121.642465814521, 38.0527180590797)",Franks Tract
CSTARS,38.05665421453459,-121.64511840587186,2021-08-17,11:42:11,0,rake_thatch,100,Egeria_densa,100,-30.1752,No,"c(-121.645118405872, 38.0566542145346)",Franks Tract
CSTARS,38.05505090199814,-121.64105647411247,2021-08-17,11:51:40,0,rake_thatch,30,Stuckenia_pectinata,100,0.9144,No,"c(-121.641056474112, 38.0550509019981)",Franks Tract
CSTARS,38.05505090199814,-121.64105647411247,2021-08-17,11:51:40,0,rake_thatch,30,Algae,0,0.9144,No,"c(-121.641056474112, 38.0550509019981)",Franks Tract
