"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",2.37198279620556,0.631150819461432,6.55217173092074,3.75818698647908,0.00800774002160896
"Yr_type.L",-1.81445247179943,0.645980289025251,15.0681018550839,-2.80883566050806,0.0131771744894522
"Yr_type.Q",0.66592553791941,0.625644878979351,14.944145627035,1.06438262390283,0.30405201880041
"Yr_type.C",-0.385516085710962,0.604625913583786,14.8044651758072,-0.637610921149411,0.533465022254117
"RegionSuisun Bay",0.397540836181341,0.202964442306333,193.064819407168,1.95867232537872,0.0515914161555818
"RegionSuisun Marsh",1.95747933240523,0.202359651886205,193.08922981111,9.67326892569475,2.68535810860988e-18
"Yr_type.L:RegionSuisun Bay",2.92621266024776,0.42185367144534,193.064819423568,6.93655847588589,5.90480523928048e-11
"Yr_type.Q:RegionSuisun Bay",-0.0835140636414075,0.405928884612665,193.064819403501,-0.205735701023336,0.837214143912274
"Yr_type.C:RegionSuisun Bay",0.701950705255009,0.389353308209719,193.064819438728,1.80286308207484,0.0729691662201792
"Yr_type.L:RegionSuisun Marsh",1.23987035867589,0.419756524644427,193.105655233006,2.95378460102835,0.00352909187450581
"Yr_type.Q:RegionSuisun Marsh",-0.853493496851548,0.40471930377241,193.089229787417,-2.10885294794711,0.0362465028659214
"Yr_type.C:RegionSuisun Marsh",0.333865062033884,0.389101387443531,193.070102977063,0.858041304420528,0.391933574764427
