Year,Index,Yr_type,Drought,ShortTerm,SprNDOI
1970,10.4,Wet,W,,
1971,10.37,Wet,W,,
1972,7.29,Below Normal,N,,
1973,8.58,Above Normal,N,,
1974,12.99,Wet,W,,
1975,9.35,Wet,W,,43479.41
1976,5.29,Critical,D,,6797.435
1977,3.11,Critical,D,,3301.37
1978,8.65,Above Normal,N,,62530.5
1979,6.67,Below Normal,N,,22083.75
1980,9.04,Above Normal,N,,49755.08
1981,6.21,Dry,N,,15802.5
1982,12.76,Wet,W,,92823.39
1983,15.29,Wet,W,,161594.9
1984,10,Wet,W,,20275.77
1985,6.47,Dry,N,,8196.717
1986,9.96,Wet,N,,77599.54
1987,5.86,Dry,D,,11379.98
1988,4.65,Critical,D,,6802.62
1989,6.13,Dry,D,,19414.24
1990,4.81,Critical,D,,5810.815
1991,4.21,Critical,D,,10790.5
1992,4.06,Critical,D,,7613.13
1993,8.54,Above Normal,N,,44486.29
1994,5.02,Critical,N,,8903.435
1995,12.89,Wet,W,,130267.1
1996,10.26,Wet,W,,59252.24
1997,10.82,Wet,W,,20176.62
1998,13.31,Wet,W,,86775.03
1999,9.8,Wet,W,,42350.47
2000,8.94,Above Normal,W,,45960.3
2001,5.76,Dry,D,,15149.27
2002,6.35,Dry,D,,14183.96
2003,8.21,Above Normal,N,,26639.72
2004,7.51,Below Normal,N,,30333.39
2005,8.49,Above Normal,W,,39927.85
2006,13.2,Wet,W,,124798.1
2007,6.19,Dry,D,,11566.13
2008,5.16,Critical,D,,9996.587
2009,5.78,Dry,D,,15993.04
2010,7.08,Below Normal,D,,20761.24
2011,10.54,Wet,N,Wet,78677.28
2012,6.89,Below Normal,D,Dry,20046.54
2013,5.83,Dry,D,Dry,10831.62
2014,4.07,Critical,D,Dry,8273.967
2015,4,Critical,D,Barrier,6232.337
2016,6.71,Below Normal,D,Dry,32350.87
2017,14.14,Wet,N,Wet,98739.67
2018,7.14,Below Normal,N,Dry,27439.77
2019,10.34,Wet,N,Wet,85507.54
2020,6.13,Dry,D,Dry,10242.07
2021,3.82,Critical,D,Barrier,
