StationCode,FldObsWaterHabs,IndexScore,FldDate
TWA,NA,,9/6/2017
TWA,NA,,9/21/2017
GLE,Not Visible,1,9/26/2017
DGL,NA,,9/26/2017
GLC,NA,,9/27/2017
ODM,NA,,9/27/2017
ORM,NA,,9/27/2017
TWA,NA,,10/4/2017
MRU,NA,,10/6/2017
MHO,NA,,10/6/2017
DGL,Absent,,10/10/2017
GLE,Not Visible,1,10/10/2017
TWA,Not Visible,1,10/17/2017
VCU,Low,2,10/18/2017
GLC,Not Visible,1,10/18/2017
ODM,Not Visible,1,10/18/2017
ORM,Not Visible,1,10/18/2017
MRU,Not Visible,1,10/24/2017
MRX,Not Visible,1,10/24/2017
MHO,Not Visible,1,10/24/2017
GLE,Not Visible,1,11/1/2017
DGL,Not Visible,1,11/1/2017
ODM,Not Visible,1,11/7/2017
ORM,Not Visible,1,11/7/2017
GLC,Not Visible,1,11/7/2017
TWA,Not Visible,1,11/8/2017
MRU,Not Visible,1,11/17/2017
MRX,Not Visible,1,11/17/2017
MHO,Not Visible,1,11/17/2017
DGL,Not Visible,1,11/22/2017
GLE,Not Visible,1,11/22/2017
TWA,Not Visible,1,11/28/2017
GLC,Not Visible,1,11/29/2017
ODM,Not Visible,1,11/29/2017
ORM,Not Visible,1,11/29/2017
MHO,Not Visible,1,11/30/2017
MRX,Not Visible,1,11/30/2017
MRU,Not Visible,1,11/30/2017
MRX,Not Visible,1,12/13/2017
MHO,Not Visible,1,12/13/2017
MRU,Not Visible,1,12/13/2017
DGL,Not Visible,1,12/15/2017
GLE,Not Visible,1,12/15/2017
TWA,Not Visible,1,12/19/2017
GLC,Not Visible,1,12/20/2017
ODM,Not Visible,1,12/20/2017
ORM,Not Visible,1,12/20/2017
GLC,Not Visible,1,1/2/2018
ORM,Not Visible,1,1/2/2018
GLE,Not Visible,1,1/4/2018
DGL,Not Visible,1,1/4/2018
MRX,Not Visible,1,1/4/2018
MHO,Not Visible,1,1/4/2018
MRU,Not Visible,1,1/4/2018
TWA,Not Visible,1,1/5/2018
DGL,Not Visible,1,1/24/2018
GLE,Not Visible,1,1/24/2018
GLC,Not Visible,1,1/25/2018
ODM,Not Visible,1,1/25/2018
ORM,Not Visible,1,1/25/2018
MRX,Not Visible,1,1/30/2018
MHO,Not Visible,1,1/30/2018
MRU,Not Visible,1,1/30/2018
TWA,Not Visible,1,1/31/2018
DGL,Not Visible,1,2/13/2018
GLE,Not Visible,1,2/13/2018
ORM,Not Visible,1,2/15/2018
GLC,Not Visible,1,2/15/2018
ODM,Not Visible,1,2/15/2018
TWA,Not Visible,1,2/20/2018
MHO,Not Visible,1,2/22/2018
MRX,Not Visible,1,2/22/2018
MRU,Not Visible,1,2/22/2018
ORM,Not Visible,1,3/7/2018
ODM,Not Visible,1,3/7/2018
GLC,Not Visible,1,3/7/2018
DGL,Not Visible,1,3/14/2018
GLE,Not Visible,1,3/14/2018
MRX,Not Visible,1,3/15/2018
MRU,Not Visible,1,3/15/2018
MHO,Not Visible,1,3/15/2018
TWA,Not Visible,1,3/16/2018
TWA,Not Visible,1,3/26/2018
ODM,Not Visible,1,3/27/2018
GLC,Not Visible,1,3/27/2018
ORM,Not Visible,1,3/27/2018
GLE,Not Visible,1,3/28/2018
GLC,Not Visible,1,4/4/2018
MHO,Not Visible,1,4/4/2018
MRU,Not Visible,1,4/4/2018
MRX,Not Visible,1,4/4/2018
ORM,Not Visible,1,4/10/2018
TWA,Not Visible,1,4/10/2018
DGL,Not Visible,1,4/12/2018
MHO,Not Visible,1,4/17/2018
MRX,Not Visible,1,4/17/2018
ODM,Not Visible,1,4/18/2018
GLC,Not Visible,1,4/18/2018
ORM,Not Visible,1,4/18/2018
DGL,Not Visible,1,5/1/2018
GLE,Not Visible,1,5/1/2018
MRU,Not Visible,1,5/8/2018
MRX,Not Visible,1,5/8/2018
MHO,Not Visible,1,5/8/2018
TWA,Not Visible,1,5/10/2018
MRX,Not Visible,1,5/15/2018
