Response Var,Agg Type,Avg Type,Dependent Var,Sum Sq,Df,F value,Pr(>F),Signif,Dif from main sim?
DissAmmonia,Seasonal,DI,Drought,0.085274675,2,2.881077354,0.058952543,< 0.1,
DissAmmonia,Seasonal,DI,Season,2.801916485,3,63.11008631,4.41E-27,< 0.001,
DissAmmonia,Seasonal,DI,DissAmmonia_onelag,0.724519307,1,48.95700098,6.55E-11,< 0.001,
DissAmmonia,Seasonal,DI,Residuals,2.397453387,162,NA,NA,NA,
,,,,,,,,,
DissAmmonia,Seasonal,yt,YearAdj,0.360563978,8,2.005517385,0.089666462,< 0.1,
DissAmmonia,Seasonal,yt,Season,0.684066537,3,10.14638116,1.67E-04,< 0.001,
DissAmmonia,Seasonal,yt,Residuals,0.539358044,24,NA,NA,NA,
 , , , , , , , , ,
DissAmmonia,Regional,DI,Drought,0.13539751,2,3.902320652,0.022209103,< 0.05,
DissAmmonia,Regional,DI,Region,0.060921148,3,1.170547638,0.32289476,> 0.1 (NS),
DissAmmonia,Regional,DI,DissAM_onelag,0.403340559,1,23.24952946,3.37E-06,< 0.001,
DissAmmonia,Regional,DI,DissAM_twolag,0.273120921,1,15.74335323,0.000110618,< 0.001,
DissAmmonia,Regional,DI,Residuals,2.688991483,155,NA,NA,NA,
,,,,,,,,,
DissAmmonia,Regional,yt,YearAdj,0.258303779,8,1.901411862,0.106826944,> 0.1 (NS),"Dif (< 0.1 vs. > 0.1), but both insignificant at < 0.05 anyway"
DissAmmonia,Regional,yt,Region,0.851295201,3,16.71068901,4.47E-06,< 0.001,
DissAmmonia,Regional,yt,Residuals,0.407545231,24,NA,NA,NA,
 , , , , , , , , ,
DissNitrateNitrite,Seasonal,DI,Drought,0.161487608,2,10.88315592,3.52E-05,< 0.001,
DissNitrateNitrite,Seasonal,DI,Season,1.552699856,3,69.76087246,1.14E-29,< 0.001,
DissNitrateNitrite,Seasonal,DI,DissNN_onelag,0.391562755,1,52.777282,1.20E-11,< 0.001,
DissNitrateNitrite,Seasonal,DI,DissNN_twolag,0.00630604,1,0.849967648,0.357838042,> 0.1 (NS),
DissNitrateNitrite,Seasonal,DI,Residuals,1.290932703,174,NA,NA,NA,
,,,,,,,,,
DissNitrateNitrite,Seasonal,yt,YearAdj,0.192173832,8,2.899883189,0.025474466,< 0.05,
DissNitrateNitrite,Seasonal,yt,Season,0.102341481,3,4.118192892,0.019917106,< 0.05,
DissNitrateNitrite,Seasonal,yt,DissNN_onelag,0.001877072,1,0.226598634,0.639216095,> 0.1 (NS),
DissNitrateNitrite,Seasonal,yt,DissNN_twolag,0.02629985,1,3.174896069,0.089969201,< 0.1,
DissNitrateNitrite,Seasonal,yt,Residuals,0.16567377,20,NA,NA,NA,
,,,,,,,,,
DissNitrateNitrite,Regional,DI,Drought,0.306749626,2,23.47113088,9.45E-10,< 0.001,
DissNitrateNitrite,Regional,DI,Region,0.694095604,3,35.40609319,6.50E-18,< 0.001,
DissNitrateNitrite,Regional,DI,DissNN_onelag,0.173460636,1,26.54488843,6.93E-07,< 0.001,
DissNitrateNitrite,Regional,DI,Residuals,1.137023077,174,NA,NA,NA,
,,,,,,,,,
DissNitrateNitrite,Regional,yt,YearAdj,0.313907481,8,32.23118397,5.17E-11,< 0.001,
DissNitrateNitrite,Regional,yt,Region,1.120276926,3,306.7388019,2.90E-19,< 0.001,
DissNitrateNitrite,Regional,yt,Residuals,0.029217743,24,NA,NA,NA,
 , , , , , , , , ,
DissOrthophos,Seasonal,DI,Drought,0.110582575,2,9.58232349,0.000111582,< 0.001,
DissOrthophos,Seasonal,DI,Season,0.432129554,3,24.96357841,1.57E-13,< 0.001,
DissOrthophos,Seasonal,DI,DissOrthophos_onelag,0.973839121,1,168.7723673,1.42E-27,< 0.001,
DissOrthophos,Seasonal,DI,Residuals,1.027083795,178,NA,NA,NA,
,,,,,,,,,
DissOrthophos,Seasonal,yt,YearAdj,0.102031312,8,4.945094861,0.001062163,< 0.01,
DissOrthophos,Seasonal,yt,Season,0.044034274,3,5.691159035,0.004328201,< 0.01,
DissOrthophos,Seasonal,yt,Residuals,0.061898497,24,NA,NA,NA,
 , , , , , , , , ,
DissOrthophos,Regional,DI,Drought,0.387946236,2,25.99428892,1.28E-10,< 0.001,
DissOrthophos,Regional,DI,Region,0.236649021,3,10.57109198,1.99E-06,< 0.001,
DissOrthophos,Regional,DI,DissOP_onelag,0.834717998,1,111.8603495,1.50E-20,< 0.001,
DissOrthophos,Regional,DI,Residuals,1.313337284,176,NA,NA,NA,
,,,,,,,,,
DissOrthophos,Regional,yt,YearAdj,0.098198116,8,9.109022135,1.12E-05,< 0.001,
DissOrthophos,Regional,yt,Region,0.124788446,3,30.86822873,2.10E-08,< 0.001,
DissOrthophos,Regional,yt,Residuals,0.032340941,24,NA,NA,NA,
