Response Var,Agg Type,Avg Type,Dependent Var,Sum Sq,Df,F value,Pr(>F),Signif
DissAmmonia,Seasonal,yt,YearAdj,0.35751359476014044,8,2.0498884617625674,0.08322555872863018,< 0.1
DissAmmonia,Seasonal,yt,Season,0.6829914310809382,3,10.442912937766415,1.3841016573002576e-4,< 0.001
DissAmmonia,Seasonal,yt,Residuals,0.5232190942517001,24,NA,NA,NA
 , , , , , , , , 
DissAmmonia,Regional,yt,YearAdj,0.271743383080091,8,1.99961684547097,0.090560211057183,< 0.1
DissAmmonia,Regional,yt,Region,0.865915438295336,3,16.9915118942286,3.91481264499191e-06,< 0.001
DissAmmonia,Regional,yt,Residuals,0.407693179364202,24,NA,NA,NA
 , , , , , , , , 
DissNitrateNitrite,Seasonal,yt,YearAdj,0.19193084065015,8,2.90630933055886,0.0252371617252102,< 0.05
DissNitrateNitrite,Seasonal,yt,Season,0.100493227634386,3,4.05791175116269,0.0209884264481932,< 0.05
DissNitrateNitrite,Seasonal,yt,DissNN_onelag,0.0018477237004374,1,0.223832985368493,0.641257458420238,> 0.1 (NS)
DissNitrateNitrite,Seasonal,yt,DissNN_twolag,0.0269314971554102,1,3.26247772181065,0.0859546436147794,< 0.1
DissNitrateNitrite,Seasonal,yt,Residuals,0.165098427954711,20,NA,NA,NA
 , , , , , , , , 
DissNitrateNitrite,Regional,yt,YearAdj,0.313472701259086,8,32.6892444054691,4.44468752175393e-11,< 0.001
DissNitrateNitrite,Regional,yt,Region,1.12016129952592,3,311.497418832537,2.41905301547434e-19,< 0.001
DissNitrateNitrite,Regional,yt,Residuals,0.0287684258501834,24,NA,NA,NA
 , , , , , , , , 
DissOrthophos,Seasonal,yt,YearAdj,0.102033706397527,8,4.95353248992155,0.00105048877454518,< 0.01
DissOrthophos,Seasonal,yt,Season,0.0438548078362511,3,5.67750202362284,0.0043777683617511,< 0.01
DissOrthophos,Seasonal,yt,Residuals,0.0617945112534081,24,NA,NA,NA
 , , , , , , , , 
DissOrthophos,Regional,yt,YearAdj,0.098153452732846,8,9.11605983967707,1.11103215867511e-05,< 0.001
DissOrthophos,Regional,yt,Region,0.124212092055084,3,30.7633902481952,2.16451261693756e-08,< 0.001
DissOrthophos,Regional,yt,Residuals,0.0323012752633455,24,NA,NA,NA
