"","PhytoDate","WQDate","StationCode","Month","Year","Latitude","Longitude","Genus","CarbonperML","AirTemp","Chla","Pheophytin","TotAmmonia","DissAmmonia","DissNitrateNitrite","DOC","TOC","DON","TON","DissOrthophos","TotPhos","DissSilica","TDS","TSS","TKN","Depth","Secchi","Microcystis","SpCndSurface","DOSurface","WTSurface"
"1",2011-01-10,2011-01-10,"C10A",1,2011,37.67934,-121.2647,"Microcystis",0,NA,"2.38","2.99",NA,"0.04","0.43","5.6","6.1","0.6",NA,"0.06",0.17,"12.8",124,"89","0.7",NA,NA,NA,204,9.5,8.2
"2",2011-01-10,2011-01-10,"C3A",1,2011,38.36771,-121.5205,"Microcystis",0,NA,"1.53","1.28",NA,"0.07","0.15","2.3","2.6","0.2",NA,"0.02",0.06,"19.1",97,"46","0.3",7.6,52,NA,164,10.9,8.1
"3",2011-01-12,2011-01-13,"D19",1,2011,38.04376,-121.6148,"Microcystis",0,NA,"0.56","0.3",NA,"0.08","0.51","4.6","4.7","0.3",NA,"0.05",0.08,"16.1",101,"4","0.4",9.4,92,NA,182,9.6,8.32
"4",2011-01-12,2011-01-13,"D28A",1,2011,37.97048,-121.573,"Microcystis",0,NA,"0.35","0.42",NA,"0.06","0.69","6","6.3","0.5",NA,"0.07",0.12,"14.3",120,"2","0.6",16.8,116,NA,219,8.9,8.3
"5",2011-01-13,2011-01-12,"D26",1,2011,38.07664,-121.5669,"Microcystis",0,NA,"0.64","0.26",NA,"0.08","0.43","4.2","4.2","0.3",NA,"0.05",0.08,"15.7",106,"6","0.5",51.3,80,NA,177,9.45,8.3
"6",2011-01-13,2011-01-12,"MD10A",1,2011,38.04226,-121.4199,"Microcystis",0,NA,"0.63","0.36",NA,"0.08","1","6.7","6.7","0.6",NA,"0.13",0.17,"16.8",163,"3","0.7",12.7,80,NA,280,8.45,7.9
"7",2011-01-13,2011-01-12,"P8",1,2011,37.97817,-121.3823,"Microcystis",0,NA,"1.23","0.86",NA,"0.08","0.59","5.3","5.4","0.3",NA,"0.06",0.12,"13",133,"15","0.6",39.8,48,NA,228,9.55,8.3
"8",2011-01-14,2011-01-14,"D4",1,2011,38.06248,-121.8205,"Microcystis",0,NA,"0.88","0.43",NA,"0.09","0.28","3","3.1","0.2",NA,"0.04",0.08,"20.4",121,"11","0.4",31.4,52,NA,309,10.1,8.6
"9",2011-01-14,2011-01-14,"D8",1,2011,38.05992,-121.99,"Microcystis",0,NA,"0.56","0.28",NA,"0.1","0.36","3.4","3.5","0.3",NA,"0.05",0.08,"18.3",912,"6","0.4",41.1,56,NA,1668,10,8.5
"10",2011-01-14,2011-01-14,"EZ2",1,2011,38.0533,-121.8743,"Microcystis",0,NA,"0.74","0.41",NA,"0.09","0.35","3.3","3.3","0.2",NA,"0.04",0.07,"16.6",370,"8","0.4",34.3,58,NA,1018,10,8.5
"11",2011-01-14,2011-01-14,"EZ6",1,2011,38.0463,-121.9183,"Microcystis",0,NA,"0.93","0.45",NA,"0.09","0.31","3.2","3.3","0.1",NA,"0.04",0.06,"19",480,"11","0.3",35.4,56,NA,868,10,8.6
"12",2011-01-18,2011-01-18,"D7",1,2011,38.11714,-122.0397,"Microcystis",0,NA,"0.5","0.94",NA,"0.1","0.27","2.7","2.9","0.2",NA,"0.03",0.1,"16.8",3360,"35","0.6",7.2,36,NA,6086,9.6,9.5
"13",2011-01-19,2011-01-19,"D41",1,2011,38.03022,-122.3729,"Microcystis",0,NA,"2.1","0.36",NA,"0.1","0.31","0.5","0.6","0.1",NA,"0.05",0.08,"8.7",18060,"20","0.4",44.4,70,NA,28334,8.7,10.5
"14",2011-01-19,2011-01-19,"D41A",1,2011,38.08472,-122.3907,"Microcystis",0,NA,"1.48","0.38",NA,"0.1","0.32","0.6","0.6","0.2",NA,"0.05",0.08,"9.4",17500,"31","0.4",9.2,60,NA,28797,8.9,10.7
"15",2011-01-19,2011-01-19,"D6",1,2011,38.04436,-122.1177,"Microcystis",0,NA,"0.95","0.66",NA,"0.13","0.34","1.7","1.9","0.3",NA,"0.05",0.09,"13.1",10360,"31","0.5",44,60,NA,17650,9.2,10.1
"16",2011-02-09,2011-02-08,"C10A",2,2011,37.67934,-121.2647,"Microcystis",0,NA,"5.34","2.29",NA,"0.01","0.25","2.7","2.9","0.1",NA,"0.02",0.09,"10.3",166,"41","0.3",NA,NA,NA,288,9.7,11
"17",2011-02-09,2011-02-08,"C3A",2,2011,38.36771,-121.5205,"Microcystis",0,NA,"2.05","1.42",NA,"0.03","0.14","1.8","1.8","0.1",NA,"0.02",0.05,"18.6",110,"16","0.2",5,56,NA,168,10.5,10.4
"18",2011-02-10,2011-02-10,"D26",2,2011,38.07664,-121.5669,"Microcystis",0,NA,"0.96","0.73",NA,"0.11","0.38","3.6","3.7","0.2",NA,"0.04",0.07,"16.1",143,"10","0.5",40.7,92,NA,261,10.2,10.3
"19",2011-02-10,2011-02-10,"MD10A",2,2011,38.04226,-121.4199,"Microcystis",0,NA,"9.29","3.04",NA,"0.02","0.44","4.9","5.1","0.4",NA,"0.04",0.06,"13.3",183,"5","0.5",15.3,136,NA,331,10.9,11
"20",2011-02-10,2011-02-10,"P8",2,2011,37.97817,-121.3823,"Microcystis",0,NA,"1.47","0.45",NA,"0.1","0.68","2.4","2.4","0.1",NA,"0.04",0.06,"10.6",241,"5","0.4",39,110,NA,430,10.3,11.3
"21",2011-02-11,2011-02-11,"D19",2,2011,38.04376,-121.6148,"Microcystis",0,NA,"1.66","1.3",NA,"0.08","0.45","3.4","3.5","0.2",NA,"0.04",0.06,"16.4",126,"11","0.3",15,72,NA,228,10.2,10.4
"22",2011-02-11,2011-02-11,"D28A",2,2011,37.97048,-121.573,"Microcystis",0,NA,"2.88","4.82",NA,"0.04","0.52","4.2","4.3","0.3",NA,"0.02",0.07,"15.1",134,"27","0.6",20,32,NA,243,9.32,10.4
"23",2011-02-14,2011-02-14,"D4",2,2011,38.06248,-121.8205,"Microcystis",0,NA,"1.42","0.55",NA,"0.14","0.38","2","2","0.2",NA,"0.05",0.07,"16.3",1340,"14","0.4",34.5,64,NA,2393,10.1,10.9
"24",2011-02-14,2011-02-14,"D8",2,2011,38.05992,-121.99,"Microcystis",0,NA,"1.38","0.38",NA,"0.14","0.42","1.6","1.7","0.3",NA,"0.06",0.09,"16.4",5640,"21","0.4",42.2,60,NA,9957,9.8,11.3
"25",2011-02-14,2011-02-14,"EZ2",2,2011,38.0668,-121.7902,"Microcystis",0,NA,"1.5","0.55",NA,"0.14","0.38","2.5","2.5","0.1",NA,"0.05",0.07,"16.8",894,"13","0.3",37.7,60,NA,1592,10.3,10.9
"26",2011-02-14,2011-02-14,"EZ6",2,2011,38.0642,-121.8227,"Microcystis",0,NA,"1.36","0.5",NA,"0.14","0.39","2","2","0.1",NA,"0.05",0.07,"16.7",1630,"15","0.3",39.2,64,NA,2920,10.1,10.9
"27",2011-02-15,2011-02-15,"D7",2,2011,38.11714,-122.0397,"Microcystis",0,NA,"1.13","0.65",NA,"0.14","0.42","1.4","1.4","0.2",NA,"0.06",0.1,"8",7650,"31","0.5",6.8,50,NA,13566,9.4,11.7
"28",2011-02-16,2011-02-16,"D41",2,2011,38.03022,-122.3729,"Microcystis",0,NA,"1.69","0.67",NA,"0.08","0.33","ND","ND","0.1",NA,"0.06",0.1,"10",24940,"44","0.3",42.9,70,NA,40577,8.3,11.8
"29",2011-02-16,2011-02-16,"D41A",2,2011,38.08472,-122.3907,"Microcystis",0,NA,"1.8","1.93",NA,"0.08","0.38","ND","0.8","0.1",NA,"0.06",0.19,"11.2",18820,"113","0.5",9.3,24,NA,30746,8.8,11.7
"30",2011-02-16,2011-02-16,"D6",2,2011,38.04436,-122.1177,"Microcystis",0,NA,"1.24","0.68",NA,"0.12","0.4","0.9","1","0.2",NA,"0.06",0.11,"11.9",15720,"46","0.5",44.1,44,NA,26702,9,12
"31",2011-03-09,2011-03-09,"C10A",3,2011,37.67934,-121.2647,"Microcystis",0,NA,"5.77","2.9",NA,"0.07","0.55","3.5","3.6","0.3",NA,"0.06",0.12,"9.7",163,"23","0.5",NA,NA,NA,300,9.7,12.9
