Year,Survey,StationCode,TowsCompleted,Index,VolumeOfAllTows,SampDate,TemperatureTop,TemperatureBottom,Secchi,ConductivityTop,ConductivityBottom,TideCode,DepthBottom,CableOut,TowDirection,WindDirection,Microcystis,TurbidityTop,Weather,Waves,StartLatDegrees,StartLatMinutes,StartLatSeconds,StartLongDegrees,StartLongMinutes,StartLongSeconds,EndLatDegrees,EndLatMinutes,EndLatSeconds,EndLongDegrees,EndLongMinutes,EndLongSeconds,Latitude,Longitude,<>,Age-0 Striped Bass,American Shad,Bay Goby,Chameleon Goby,Cheekspot Goby,Crangon,Gobies (Unid),Herring (Unid),Jacksmelt,Jelly (UNID),Largemouth Bass,Lepomis (UNID),Longfin Smelt,Maeotias,Mississippi Silverside,Northern Anchovy,Pacific Herring,Pacific Lamprey,Palaemon,Plainfin Midshipman,Prickly Sculpin,Rainwater Killifish,Shimofuri Goby,Shokihaze Goby,Siberian prawn,Splittail,Staghorn Sculpin,Starry Flounder,Threadfin Shad,Three Spine Stickleback,Topsmelt,Trid_SB0 (UNID),Tridentiger spp,Tule Perch,Unknown Damaged (UNID),Unknown Fish (UNID),Unknown Invertebrate (UNID),Wakasagi,White Catfish,Yellowfin Goby
2021,1,323,3,1,3214,6/10/2021,18.5,18.2,47,32845,20440,4,12,100,2,SW,1,23.1,1,3,38,2,41.8,122,17,13,38,2,36.9,122,17,28.6,38.04494444,-122.2869444,,,,4,,,,,,,,,,,,5,21,1,,,,,,,,,,,,,,,,,,,,,,,
2021,1,340,2,0,1962,6/10/2021,19.1,18.1,62,28179,25148,4,12,100,2,W,1,15.2,1,2,38,5,49.9,122,15,40.2,38,5,37.3,122,15,28.9,38.09719444,-122.2611667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,405,2,1,1774,6/10/2021,18.4,17.7,36,22564,21612,4,12,100,2,W,1,31.6,1,1,38,2,22.3,122,8,33.9,38,2,22.3,122,8,52.2,38.03952778,-122.14275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,411,2,1,2179,6/10/2021,18,18.3,31,19259,19502,2,5,75,2,W,1,45.7,1,3,38,3,2.9,122,4,43.2,38,3,9.5,122,4,28.3,38.05080556,-122.0786667,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,418,3,1,2747,6/10/2021,18.5,17.6,60,18981,19868,4,33,225,2,S,1,14.3,1,2,38,4,6.1,122,5,47.1,38,3,58,122,5,52.8,38.06836111,-122.0964167,,,,,,,33,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,501,2,1,2072,6/10/2021,18.1,17.6,32,16196,9717,2,39,225,2,W,1,31.8,1,3,38,4,24.6,122,1,35,38,4,21.7,122,1,24.9,38.0735,-122.0263889,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,504,3,1,2953,6/10/2021,19.1,19.1,50,12388,14113,2,25,200,2,W,1,24.1,1,1,38,3,10.5,121,59,12,,,,,,,38.05291667,-121.9866667,,,,,,,22,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,
2021,1,508,3,1,2842,6/10/2021,19.8,20,59,8389,9684,2,37,225,2,W,1,18.1,1,1,38,2,52,121,54,54.6,38,2,51,121,54,34.2,38.04777778,-121.9151667,,,,,,,44,,,,,,,17,,,,,,,,,,,,7,,,,,,,,,,,,,,,1
2021,1,513,3,1,3248,6/10/2021,17.9,17.5,46,10186,8768,2,48,225,2,SW,1,26,1,3,38,3,34.4,121,52,6.9,38,3,33.4,121,52,8.2,38.05955556,-121.8685833,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,519,2,1,30645,6/10/2021,17.1,16.4,38,15771,9273,2,5,75,2,W,1,23.4,1,3,38,12,33.1,121,39,46,0,0,0,0,0,0,38.20919444,-121.6627778,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
