Year,Index,Yr_type,Drought,ShortTerm,SprNDOI
1970,10.4,Wet,W,,
1971,10.37,Wet,W,,
1972,7.29,Below Normal,N,,
1973,8.58,Above Normal,N,,
1974,12.99,Wet,W,,
1975,9.35,Wet,W,,43479.41
1976,5.29,Critical,D,,6797.435
1977,3.11,Critical,D,,3301.37
1978,8.65,Above Normal,N,,62530.5
1979,6.67,Below Normal,N,,22083.75
1980,9.04,Above Normal,N,,49755.08
1981,6.21,Dry,N,,15802.5
1982,12.76,Wet,W,,92823.39
1983,15.29,Wet,W,,161594.9
1984,10,Wet,W,,20275.77
1985,6.47,Dry,N,,8196.717
1986,9.96,Wet,N,,77599.54
1987,5.86,Dry,D,,11379.98
1988,4.65,Critical,D,,6802.62
1989,6.13,Dry,D,,19414.24
1990,4.81,Critical,D,,5810.815
1991,4.21,Critical,D,,10790.5
1992,4.06,Critical,D,,7613.13
1993,8.54,Above Normal,N,,44486.29
1994,5.02,Critical,N,,8903.435
1995,12.89,Wet,W,,130267.1
1996,10.26,Wet,W,,59252.24
1997,10.82,Wet,W,,20176.62
1998,13.31,Wet,W,,86775.03
1999,9.8,Wet,W,,42350.47
2000,8.94,Above Normal,W,Wet,45960.3
2001,5.76,Dry,D,Dry,15149.27
2002,6.35,Dry,D,Dry,14183.96
2003,8.21,Above Normal,N,Wet,26639.72
2004,7.51,Below Normal,N,Dry,30333.39
2005,8.49,Above Normal,W,Wet,39927.85
2006,13.2,Wet,W,Wet,124798.1
2007,6.19,Dry,D,Dry,11566.13
2008,5.16,Critical,D,Dry,9996.587
2009,5.78,Dry,D,Dry,15993.04
2010,7.08,Below Normal,D,Dry,20761.24
2011,10.54,Wet,N,Wet,78677.28
2012,6.89,Below Normal,D,Dry,20046.54
2013,5.83,Dry,D,Dry,10831.62
2014,4.07,Critical,D,Dry,8273.967
2015,4,Critical,D,Barrier,6232.337
2016,6.71,Below Normal,D,Dry,32350.87
2017,14.14,Wet,N,Wet,98739.67
2018,7.14,Below Normal,N,Dry,27439.77
2019,10.34,Wet,N,Wet,85507.54
2020,6.13,Dry,D,Dry,10242.07
2021,3.86,Critical,D,Barrier,
1906,11.76,Wet,W,,
1907,14.07,Wet,W,,
1908,7.73,Below Normal,N,,
1909,12.1,Wet,W,,
1910,9.38,Wet,W,,
1911,11.74,Wet,W,,
1912,6.71,Below Normal,D,,
1913,6.24,Dry,D,,
1914,10.92,Wet,W,,
1915,10.99,Wet,W,,
1916,10.83,Wet,W,,
1917,8.83,Above Normal,W,,
1918,6.19,Dry,D,,
1919,7,Below Normal,D,,
1920,5.15,Critical,D,,
1921,9.2,Above Normal,W,,
1922,8.97,Above Normal,W,,
1923,7.06,Below Normal,D,,
1924,3.87,Critical,D,,
1925,6.39,Dry,D,,
1926,5.75,Dry,D,,
1927,9.52,Wet,W,,
1928,8.27,Above Normal,W,,
1929,5.22,Critical,D,,
1930,5.9,Dry,D,,
1931,3.66,Critical,D,,
1932,5.48,Dry,D,,
1933,4.63,Critical,D,,
1934,4.07,Critical,D,,
1935,6.98,Below Normal,D,,
1936,7.75,Below Normal,D,,
1937,6.87,Below Normal,D,,
1938,12.62,Wet,N,,
1939,5.58,Dry,N,,
1940,8.88,Above Normal,W,,
1941,11.47,Wet,W,,
1942,11.27,Wet,W,,
1943,9.77,Wet,W,,
1944,6.35,Dry,D,,
1945,6.8,Below Normal,D,,
1946,7.7,Below Normal,D,,
1947,5.61,Dry,D,,
1948,7.12,Below Normal,D,,
1949,6.09,Dry,D,,
1950,6.62,Below Normal,D,,
1951,9.18,Above Normal,W,,
1952,12.38,Wet,W,,
1953,9.55,Wet,W,,
1954,8.51,Above Normal,W,,
1955,6.14,Dry,N,,
1956,11.38,Wet,W,,
1957,7.83,Above Normal,W,,
1958,12.16,Wet,W,,
1959,6.75,Below Normal,D,,
1960,6.2,Dry,D,,
1961,5.68,Dry,D,,
1962,6.65,Below Normal,D,,
1963,9.63,Wet,N,,
1964,6.41,Dry,N,,
1965,10.15,Wet,N,,
1966,7.16,Below Normal,N,,
1967,10.2,Wet,N,,
1968,7.24,Below Normal,N,,
1969,11.05,Wet,W,,
