"","term","estimate","std.error","statistic","p.value","river"
"1","(Intercept)",2.87046660603952,0.147005488158928,19.526254713268,2.25047698346754e-32,"San Joaquin"
"2","LogSJR",-0.27893133594217,0.0315808523531525,-8.83229283437391,1.705055426935e-13,"San Joaquin"
"3","mod_m",-0.00471574028872819,0.00182090483855329,-2.5897785479415,0.011384270148266,"San Joaquin"
"4","pump",-0.0048578547925788,0.0008510901686083,-5.70780273554605,1.81733052360484e-07,"San Joaquin"
"5","LogSJR:pump",0.000799582864919843,0.000192037836954955,4.16367356349361,7.76664182995744e-05,"San Joaquin"
"6","LogSJR:mod_m",0.00096163597487808,0.000411389475725669,2.33753178343176,0.021880174303977,"San Joaquin"
"7","(Intercept)",4.82164589584435,0.197000779955977,24.4752629757193,1.01680295490495e-39,"Sacramento"
"8","LogSac",-1.27791148245276,0.0714223624322862,-17.8923160608741,3.20171485450102e-30,"Sacramento"
"9","pump",-0.00344825727727402,0.00127978390863929,-2.6944058711758,0.00853230288654272,"Sacramento"
"10","LogSac:pump",0.00142387312815695,0.000462536789420625,3.07839973105815,0.00282050353198243,"Sacramento"
